What is your age?,What is your gender?  ,What is your occupation?  ,Does any member of your family or a close acquaintance live abroad?,Have you decided to move abroad?,How long do you plan to stay abroad?,Are you aware of any specific migration programs or scholarships available for students or workers abroad?  ,What role do social media and online success stories play in influencing your decision to move abroad?,Who or what influences your decision to move abroad? (Multiple options can be selected),Which countries are you most interested in moving to?,How much psychological stress or anxiety have you experienced while considering moving abroad?  ,What is your primary goal for considering moving abroad? (Multiple options can be selected),What kind of psychological stress have you experienced while planning to move abroad? (Multiple options can be selected) ,How do you cope with the stress of planning to move abroad?,Do you think migration trends have increased among Bangladeshi youth in the last 5 years?,What do you think is the biggest barrier to migrating abroad? (Multiple options can be selected),Do you think you will return to Bangladesh in the future after living abroad?,Do you think your decision to move abroad will impact your family or community in Bangladesh?,Do you feel that the government of Bangladesh offers enough support for youth planning to migrate abroad?  ,Do you feel a sense of responsibility towards your family while planning to move abroad?,"How likely are you to recommend going abroad to others in your age group? (Rate on a scale of 1 to 5, where 1 is very unlikely and 5 is very likely)."
18-24,Male,Student,No,Yes,Permanently,Yes,A moderate role,Career mentors or teachers;Family pressure or support;Personal research and aspirations,USA,Never,Better living standards;Healthcare;Higher education,Separation from family;Visa or immigration concerns;Job uncertainty,Joining online forums,No,All country Embassy is not in Bangladesh;Educational qualification;Financial issues,Yes,Negative impact,No,Yes,1
31-40,Female,Student,Yes,Not sure yet,Permanently,No,A significant role,Personal research and aspirations;Social media and online success stories;Family pressure or support,UK,Never,Desire for independence;Political stability;Economic opportunities,Separation from family;Visa or immigration concerns;Job uncertainty,Talking to family and friends,Yes,All country Embassy is not in Bangladesh;Visa or immigration process;Financial issues,Not sure,Positive impact,No,Yes,2
31-40,Male,Student,Yes,Not sure yet,Permanently,No,A minor role,Family pressure or support;Career mentors or teachers;Friends or peer influence,"Europe (e.g., Germany, Sweden)",Always,Political stability;Higher education;Healthcare,Visa or immigration concerns;Separation from family;Job uncertainty,Joining online forums,No,All country Embassy is not in Bangladesh;Visa or immigration process;Family pressure or support,Not sure,Positive impact,Not Sure,Yes,3
25-30,Male,Student,No,Yes,Permanently,Yes,A moderate role,Career mentors or teachers;Family pressure or support;Friends or peer influence,"Europe (e.g., Germany, Sweden)",Sometimes,Healthcare;Better living standards;Higher education,Visa or immigration concerns;Separation from family;Cultural shock,Talking to family and friends,No,Job information or experience;Family pressure or support;Financial issues,Yes,Positive impact,Yes,Yes,3
18-24,Female,Freelancer,Yes,Not sure yet,Permanently,No,A moderate role,Career mentors or teachers;Personal research and aspirations;Social media and online success stories,Australia,Sometimes,Economic opportunities;Better job opportunities;Better living standards,Separation from family;Visa or immigration concerns;Cultural shock,Professional counseling,I’m not sure,Educational qualification;Job information or experience;Visa or immigration process,No,Not sure,Not Sure,Maybe,5
25-30,Male,Student,Yes,Not sure yet,Permanently,Yes,A minor role,Career mentors or teachers;Personal research and aspirations;Friends or peer influence,Canada,Never,Political stability;Higher education;Better job opportunities,Separation from family;Visa or immigration concerns;Job uncertainty,Joining online forums,Yes,Educational qualification;Financial issues;Visa or immigration process,Not sure,Negative impact,Not Sure,Yes,4
25-30,Male,Student,Yes,Yes,Permanently,No,A moderate role,Friends or peer influence;Social media and online success stories;Family pressure or support,USA,Always,Better living standards;Economic opportunities;Political stability,Separation from family;Visa or immigration concerns;Cultural shock,Professional counseling,Yes,Job information or experience;Educational qualification;Financial issues,Not sure,Positive impact,Yes,Maybe,1
18-24,Male,Unemployed,Yes,Yes,Permanently,Maybe,A minor role,Personal research and aspirations;Friends or peer influence;Social media and online success stories,USA,Rarely,Healthcare;Desire for independence;Higher education,Separation from family;Visa or immigration concerns;Cultural shock,Joining online forums,No,Financial issues;All country Embassy is not in Bangladesh;Job information or experience,Not sure,Positive impact,Not Sure,Yes,5
31-40,Male,Student,Yes,Yes,3-5 years,No,A moderate role,Friends or peer influence;Career mentors or teachers;Family pressure or support,"Europe (e.g., Germany, Sweden)",Always,Political stability;Healthcare;Economic opportunities,Visa or immigration concerns;Separation from family;Job uncertainty,Other,Yes,All country Embassy is not in Bangladesh;Job information or experience;Family pressure or support,Not sure,Positive impact,No,Yes,4
25-30,Female,Student,Yes,Not sure yet,3-5 years,Yes,A minor role,Career mentors or teachers;Social media and online success stories;Family pressure or support,USA,Always,Desire for independence;Economic opportunities;Better job opportunities,Visa or immigration concerns;Separation from family;Social acceptance,Professional counseling,Yes,Visa or immigration process;All country Embassy is not in Bangladesh;Financial issues,Not sure,Positive impact,No,Yes,4
25-30,Male,Employed,Yes,Yes,Permanently,Maybe,A moderate role,Social media and online success stories;Career mentors or teachers;Family pressure or support,USA,Never,Political stability;Desire for independence;Better living standards,Separation from family;Visa or immigration concerns;Language barriers,Professional counseling,Yes,Educational qualification;Visa or immigration process;All country Embassy is not in Bangladesh,No,Positive impact,No,Yes,2
31-40,Male,Unemployed,Yes,Yes,Permanently,Maybe,A moderate role,Friends or peer influence;Social media and online success stories;Career mentors or teachers,"Europe (e.g., Germany, Sweden)",Sometimes,Economic opportunities;Higher education;Healthcare,Visa or immigration concerns;Separation from family;Language barriers,Professional counseling,Yes,Job information or experience;Family pressure or support;All country Embassy is not in Bangladesh,No,Positive impact,No,Yes,2
18-24,Male,Student,Yes,Yes,3-5 years,Yes,A minor role,Friends or peer influence;Career mentors or teachers;Personal research and aspirations,"Europe (e.g., Germany, Sweden)",Often,Higher education;Healthcare;Desire for independence,Separation from family;Visa or immigration concerns;Cultural shock,Joining online forums,I’m not sure,Family pressure or support;Educational qualification;Financial issues,Not sure,Positive impact,Not Sure,Yes,4
18-24,Male,Student,Yes,Yes,1-2 years,No,A moderate role,Family pressure or support;Social media and online success stories;Friends or peer influence,"Europe (e.g., Germany, Sweden)",Always,Political stability;Better living standards;Desire for independence,Nothing,Professional counseling,Yes,All country Embassy is not in Bangladesh;Job information or experience;Visa or immigration process,No,Not sure,No,Yes,5
25-30,Female,Employed,Yes,No,3-5 years,Maybe,A moderate role,Personal research and aspirations;Career mentors or teachers;Friends or peer influence,"Europe (e.g., Germany, Sweden)",Sometimes,Higher education;Economic opportunities;Healthcare,Separation from family;Visa or immigration concerns;Cultural shock,Other,No change,Financial issues;Educational qualification;Family pressure or support,Not sure,Positive impact,Not Sure,Yes,1
40 or above,Male,Unemployed,Yes,Yes,Permanently,Yes,A minor role,Friends or peer influence;Family pressure or support;Social media and online success stories,"Europe (e.g., Germany, Sweden)",Often,Political stability;Better job opportunities;Healthcare,Nothing,Joining online forums,Yes,Visa or immigration process;All country Embassy is not in Bangladesh;Educational qualification,Yes,Positive impact,Yes,Yes,2
18-24,Male,Self-employed,Yes,Yes,Permanently,Yes,A minor role,Social media and online success stories;Career mentors or teachers;Family pressure or support,Australia,Sometimes,Economic opportunities;Healthcare;Higher education,Visa or immigration concerns;Separation from family;Social acceptance,Professional counseling,Yes,All country Embassy is not in Bangladesh;Financial issues;Family pressure or support,Not sure,Negative impact,No,Yes,5
18-24,Male,Employed,Yes,No,3-5 years,No,A minor role,Career mentors or teachers;Social media and online success stories;Family pressure or support,UK,Always,Healthcare;Better job opportunities;Economic opportunities,Separation from family;Visa or immigration concerns;Cultural shock,Professional counseling,Yes,All country Embassy is not in Bangladesh;Financial issues;Family pressure or support,Not sure,Positive impact,Not Sure,Maybe,4
25-30,Male,Freelancer,Yes,No,Permanently,Yes,A moderate role,Social media and online success stories;Personal research and aspirations;Career mentors or teachers,"Europe (e.g., Germany, Sweden)",Always,Political stability;Healthcare;Better job opportunities,Visa or immigration concerns;Separation from family;Social acceptance,Professional counseling,I’m not sure,Family pressure or support;Job information or experience;Visa or immigration process,Yes,Positive impact,Yes,Yes,4
18-24,Male,Employed,Yes,Yes,3-5 years,No,A moderate role,Career mentors or teachers;Friends or peer influence;Family pressure or support,USA,Often,Higher education;Better job opportunities;Desire for independence,Separation from family;Visa or immigration concerns;Social acceptance,Joining online forums,Yes,Educational qualification;Visa or immigration process;Financial issues,No,Not sure,No,Yes,2
25-30,Male,Student,No,Yes,Permanently,Maybe,A moderate role,Career mentors or teachers;Friends or peer influence;Family pressure or support,"Europe (e.g., Germany, Sweden)",Rarely,Political stability;Higher education;Healthcare,Visa or immigration concerns;Separation from family;Social acceptance,Joining online forums,No,Financial issues;Job information or experience;Visa or immigration process,No,Positive impact,No,Maybe,5
25-30,Female,Self-employed,Yes,Yes,3-5 years,Maybe,A minor role,Career mentors or teachers;Family pressure or support;Personal research and aspirations,Canada,Always,Economic opportunities;Political stability;Better living standards,Visa or immigration concerns;Separation from family;Language barriers,Joining online forums,Yes,Visa or immigration process;Family pressure or support;Educational qualification,Not sure,Positive impact,No,Maybe,2
31-40,Male,Self-employed,No,No,Less than 1 year,No,A moderate role,Friends or peer influence;Career mentors or teachers;Family pressure or support,"Europe (e.g., Germany, Sweden)",Rarely,Healthcare;Higher education;Better living standards,Cultural shock;Language barriers;Job uncertainty,Other,No change,All country Embassy is not in Bangladesh;Visa or immigration process;Financial issues,Not sure,Negative impact,Yes,Yes,2
40 or above,Male,Self-employed,No,No,Less than 1 year,No,A significant role,Other;Personal research and aspirations;Social media and online success stories,USA,Rarely,Better job opportunities;Better living standards;Desire for independence,Separation from family,Professional counseling,No change,Financial issues;All country Embassy is not in Bangladesh;Visa or immigration process,Not sure,No impact,No,Yes,2
40 or above,Female,Self-employed,No,No,Less than 1 year,No,A minor role,Other;Social media and online success stories;Family pressure or support,USA,Never,Political stability;Higher education;Desire for independence,Language barriers,Other,Yes,Other;All country Embassy is not in Bangladesh;Financial issues,Not sure,No impact,Not Sure,Yes,2
40 or above,Female,Employed,No,No,Less than 1 year,No,No role at all,Personal research and aspirations;Career mentors or teachers;Friends or peer influence,USA,Never,Healthcare;Better living standards;Better job opportunities,Separation from family;Language barriers;Visa or immigration concerns,Other,No change,Visa or immigration process;Educational qualification;Other,Yes,Not sure,Yes,Yes,1
31-40,Female,Employed,No,No,Less than 1 year,No,A minor role,Friends or peer influence;Personal research and aspirations;Career mentors or teachers,"Europe (e.g., Germany, Sweden)",Rarely,Healthcare;Better living standards;Political stability,Language barriers,Joining online forums,No change,Financial issues;All country Embassy is not in Bangladesh;Visa or immigration process,Not sure,Not sure,Not Sure,Yes,2
31-40,Female,Self-employed,No,No,Less than 1 year,No,A moderate role,Family pressure or support;Other;Personal research and aspirations,UK,Never,Other;Better living standards;Higher education,Visa or immigration concerns;Separation from family,Joining online forums,I’m not sure,All country Embassy is not in Bangladesh;Job information or experience;Family pressure or support,Not sure,Positive impact,Yes,Yes,2
31-40,Female,Employed,No,No,Less than 1 year,No,A moderate role,Family pressure or support;Social media and online success stories;Friends or peer influence,Australia,Never,Healthcare;Desire for independence;Higher education,Social acceptance;Cultural shock;Other,Other,Yes,Financial issues;All country Embassy is not in Bangladesh;Job information or experience,No,Negative impact,Yes,Yes,2
31-40,Male,Employed,No,No,Less than 1 year,No,A significant role,Other;Family pressure or support;Career mentors or teachers,"Europe (e.g., Germany, Sweden)",Rarely,Other;Economic opportunities;Political stability,Visa or immigration concerns;Social acceptance,Professional counseling,No,Family pressure or support;Other;Educational qualification,No,Negative impact,No,Yes,1
40 or above,Male,Employed,No,No,Less than 1 year,No,A significant role,Career mentors or teachers;Other;Friends or peer influence,"Europe (e.g., Germany, Sweden)",Rarely,Other;Political stability;Better living standards,Job uncertainty;Social acceptance;Visa or immigration concerns,Other,No,Other;Job information or experience;Educational qualification,Not sure,Positive impact,No,Yes,2
31-40,Female,Employed,No,No,Less than 1 year,No,A significant role,Friends or peer influence;Career mentors or teachers;Personal research and aspirations,Australia,Never,Economic opportunities;Better living standards;Desire for independence,Nothing,Professional counseling,I’m not sure,Financial issues;Visa or immigration process;Family pressure or support,Not sure,No impact,Yes,Yes,2
40 or above,Male,Employed,No,No,Less than 1 year,No,A minor role,Career mentors or teachers;Social media and online success stories;Friends or peer influence,USA,Never,Healthcare;Better job opportunities;Better living standards,Separation from family,Hobbies or physical exercise,No,Family pressure or support;Educational qualification;Financial issues,Yes,Negative impact,Yes,Yes,1
40 or above,Female,Employed,No,No,Less than 1 year,No,A minor role,Career mentors or teachers;Friends or peer influence;Personal research and aspirations,USA,Never,Higher education;Better job opportunities;Political stability,Nothing,Other,Yes,Other;Family pressure or support;Educational qualification,Not sure,No impact,Yes,Yes,1
31-40,Male,Self-employed,No,No,Less than 1 year,No,A significant role,Career mentors or teachers;Friends or peer influence;Social media and online success stories,Australia,Rarely,Other;Political stability;Healthcare,Other;Language barriers,Hobbies or physical exercise,No change,Family pressure or support;Visa or immigration process;Educational qualification,No,Not sure,No,Yes,1
31-40,Female,Employed,No,No,Less than 1 year,No,No role at all,Social media and online success stories;Personal research and aspirations;Family pressure or support,Australia,Rarely,Better job opportunities;Desire for independence;Economic opportunities,Cultural shock,Joining online forums,Yes,Family pressure or support;Educational qualification;Job information or experience,Not sure,Positive impact,Not Sure,Yes,2
31-40,Female,Employed,No,No,Less than 1 year,No,A significant role,Other;Social media and online success stories;Family pressure or support,UK,Rarely,Better job opportunities;Healthcare;Better living standards,Visa or immigration concerns;Cultural shock;Language barriers,Hobbies or physical exercise,No change,Job information or experience;Financial issues;Family pressure or support,Not sure,No impact,No,Yes,1
40 or above,Male,Employed,No,No,Less than 1 year,No,A moderate role,Family pressure or support;Friends or peer influence;Personal research and aspirations,UK,Never,Other;Healthcare;Desire for independence,Visa or immigration concerns;Cultural shock;Other,Other,No,Job information or experience;Educational qualification;All country Embassy is not in Bangladesh,Not sure,Negative impact,Not Sure,Yes,2
40 or above,Male,Employed,No,No,Less than 1 year,No,No role at all,Other;Career mentors or teachers;Personal research and aspirations,Canada,Rarely,Higher education;Economic opportunities;Political stability,Job uncertainty;Social acceptance;Separation from family,Other,No change,All country Embassy is not in Bangladesh;Family pressure or support;Educational qualification,No,No impact,Not Sure,Yes,2
31-40,Male,Employed,No,No,Less than 1 year,No,A moderate role,Career mentors or teachers;Friends or peer influence;Family pressure or support,Canada,Never,Desire for independence;Other;Better job opportunities,Social acceptance,Professional counseling,No change,Other;Financial issues;Family pressure or support,No,Not sure,Not Sure,Yes,2
40 or above,Male,Self-employed,No,No,Less than 1 year,No,A moderate role,Career mentors or teachers;Family pressure or support;Friends or peer influence,Canada,Never,Healthcare;Economic opportunities;Better living standards,Language barriers,Other,Yes,All country Embassy is not in Bangladesh;Visa or immigration process;Job information or experience,No,Negative impact,Not Sure,Yes,1
31-40,Female,Employed,No,No,Less than 1 year,No,A minor role,Personal research and aspirations;Friends or peer influence;Career mentors or teachers,Australia,Never,Economic opportunities;Higher education;Better job opportunities,Nothing,Other,No change,Visa or immigration process;Educational qualification;Financial issues,Not sure,Positive impact,Yes,Yes,1
31-40,Male,Self-employed,No,No,Less than 1 year,No,No role at all,Family pressure or support;Personal research and aspirations;Career mentors or teachers,Canada,Never,Healthcare;Higher education;Other,Visa or immigration concerns,Joining online forums,I’m not sure,Visa or immigration process;Financial issues;Job information or experience,Yes,Positive impact,Not Sure,Yes,2
40 or above,Female,Self-employed,No,No,Less than 1 year,No,No role at all,Family pressure or support;Other;Social media and online success stories,UK,Rarely,Political stability;Desire for independence;Better job opportunities,Nothing,Joining online forums,No,Visa or immigration process;Job information or experience;Financial issues,Not sure,Not sure,Yes,Yes,2
40 or above,Female,Self-employed,No,No,Less than 1 year,No,No role at all,Social media and online success stories;Other;Friends or peer influence,"Europe (e.g., Germany, Sweden)",Rarely,Healthcare;Better living standards;Better job opportunities,Nothing,Hobbies or physical exercise,No change,Job information or experience;All country Embassy is not in Bangladesh;Visa or immigration process,Not sure,Not sure,No,Yes,1
31-40,Male,Self-employed,No,No,Less than 1 year,No,A significant role,Friends or peer influence;Other;Family pressure or support,Canada,Rarely,Healthcare;Political stability;Better living standards,Other;Visa or immigration concerns;Separation from family,Other,I’m not sure,All country Embassy is not in Bangladesh;Family pressure or support;Visa or immigration process,Not sure,No impact,Yes,Yes,2
40 or above,Female,Employed,No,No,Less than 1 year,No,No role at all,Family pressure or support;Personal research and aspirations;Social media and online success stories,"Middle East (e.g., UAE, Saudi Arabia)",Never,Healthcare;Higher education;Political stability,Social acceptance,Professional counseling,I’m not sure,Other;All country Embassy is not in Bangladesh;Job information or experience,Not sure,Positive impact,Yes,Yes,1
31-40,Male,Self-employed,No,No,Less than 1 year,No,A minor role,Family pressure or support;Career mentors or teachers;Social media and online success stories,Canada,Rarely,Economic opportunities;Healthcare;Better job opportunities,Nothing,Joining online forums,No,Job information or experience;Visa or immigration process;Family pressure or support,Yes,Not sure,No,Yes,2
31-40,Female,Employed,No,No,Less than 1 year,No,A significant role,Career mentors or teachers;Friends or peer influence;Personal research and aspirations,USA,Never,Better job opportunities;Economic opportunities;Better living standards,Nothing,Other,I’m not sure,Visa or immigration process;Job information or experience;Financial issues,Yes,No impact,Yes,Yes,2
40 or above,Female,Employed,No,No,Less than 1 year,No,A minor role,Family pressure or support;Other;Social media and online success stories,Australia,Never,Political stability;Higher education;Economic opportunities,Visa or immigration concerns,Joining online forums,I’m not sure,Educational qualification;Job information or experience;Financial issues,Not sure,Positive impact,Yes,Yes,2
31-40,Female,Employed,No,No,Less than 1 year,No,A minor role,Other;Personal research and aspirations;Family pressure or support,"Middle East (e.g., UAE, Saudi Arabia)",Never,Other;Better living standards;Political stability,Other;Separation from family;Cultural shock,Other,No change,Educational qualification;Financial issues;All country Embassy is not in Bangladesh,Not sure,Negative impact,Not Sure,Yes,2
31-40,Male,Employed,No,No,Less than 1 year,No,No role at all,Family pressure or support;Other;Personal research and aspirations,Australia,Rarely,Other;Better living standards;Economic opportunities,Language barriers;Visa or immigration concerns;Other,Other,No change,Family pressure or support;Financial issues;Educational qualification,No,Not sure,No,Yes,2
31-40,Male,Employed,No,No,Less than 1 year,No,A significant role,Social media and online success stories;Family pressure or support;Friends or peer influence,"Europe (e.g., Germany, Sweden)",Rarely,Better living standards;Political stability;Higher education,Visa or immigration concerns;Job uncertainty;Language barriers,Professional counseling,No,Financial issues;Family pressure or support;Job information or experience,No,Not sure,Yes,Yes,1
31-40,Male,Self-employed,No,No,Less than 1 year,No,No role at all,Social media and online success stories;Friends or peer influence;Family pressure or support,Australia,Never,Other;Higher education;Economic opportunities,Nothing,Professional counseling,Yes,Financial issues;Visa or immigration process;Educational qualification,Not sure,No impact,Yes,Yes,1
40 or above,Male,Self-employed,No,No,Less than 1 year,No,A minor role,Friends or peer influence;Other;Social media and online success stories,UK,Rarely,Economic opportunities;Desire for independence;Healthcare,Other,Hobbies or physical exercise,No change,Other;Visa or immigration process;All country Embassy is not in Bangladesh,Yes,Not sure,Yes,Yes,1
31-40,Male,Employed,No,No,Less than 1 year,No,No role at all,Other;Family pressure or support;Career mentors or teachers,Australia,Never,Higher education;Better living standards;Economic opportunities,Job uncertainty,Other,No change,Financial issues;All country Embassy is not in Bangladesh;Family pressure or support,Not sure,No impact,Not Sure,Yes,1
40 or above,Female,Self-employed,No,No,Less than 1 year,No,A significant role,Friends or peer influence;Social media and online success stories;Career mentors or teachers,USA,Never,Desire for independence;Political stability;Higher education,Language barriers,Talking to family and friends,Yes,Educational qualification;Family pressure or support;Job information or experience,Yes,Negative impact,No,Yes,1
40 or above,Female,Employed,No,No,Less than 1 year,No,A significant role,Other;Family pressure or support;Career mentors or teachers,UK,Never,Healthcare;Desire for independence;Political stability,Other;Visa or immigration concerns;Job uncertainty,Joining online forums,No,All country Embassy is not in Bangladesh;Educational qualification;Other,Yes,No impact,Not Sure,Yes,1
40 or above,Female,Self-employed,No,No,Less than 1 year,No,A moderate role,Other;Personal research and aspirations;Career mentors or teachers,"Middle East (e.g., UAE, Saudi Arabia)",Never,Healthcare;Better living standards;Political stability,Other;Language barriers;Separation from family,Hobbies or physical exercise,Yes,Family pressure or support;Visa or immigration process;Job information or experience,No,Not sure,Not Sure,Yes,1
40 or above,Male,Employed,No,No,Less than 1 year,No,A significant role,Personal research and aspirations;Friends or peer influence;Family pressure or support,UK,Rarely,Desire for independence;Healthcare;Political stability,Social acceptance,Professional counseling,No change,All country Embassy is not in Bangladesh;Family pressure or support;Educational qualification,Not sure,No impact,Yes,Yes,1
40 or above,Male,Employed,No,No,Less than 1 year,No,A significant role,Other;Career mentors or teachers;Personal research and aspirations,USA,Never,Better living standards;Political stability;Healthcare,Cultural shock;Job uncertainty,Hobbies or physical exercise,I’m not sure,Other;Job information or experience;All country Embassy is not in Bangladesh,No,No impact,No,Yes,1
40 or above,Male,Self-employed,No,No,Less than 1 year,No,No role at all,Personal research and aspirations;Social media and online success stories;Friends or peer influence,"Europe (e.g., Germany, Sweden)",Rarely,Healthcare;Economic opportunities;Better job opportunities,Separation from family;Cultural shock,Other,No change,All country Embassy is not in Bangladesh;Family pressure or support;Visa or immigration process,Yes,Negative impact,Yes,Yes,1
40 or above,Male,Self-employed,No,No,Less than 1 year,No,No role at all,Friends or peer influence;Family pressure or support;Personal research and aspirations,UK,Never,Better living standards;Political stability;Higher education,Cultural shock;Job uncertainty,Talking to family and friends,No change,Family pressure or support;Financial issues;Job information or experience,Not sure,Negative impact,No,Yes,2
40 or above,Male,Employed,No,No,Less than 1 year,No,A significant role,Career mentors or teachers;Social media and online success stories;Personal research and aspirations,Australia,Never,Political stability;Higher education;Economic opportunities,Separation from family;Job uncertainty,Joining online forums,No change,Other;Financial issues;Educational qualification,No,Positive impact,No,Yes,2
31-40,Male,Self-employed,No,No,Less than 1 year,No,No role at all,Friends or peer influence;Other;Personal research and aspirations,"Europe (e.g., Germany, Sweden)",Never,Economic opportunities;Desire for independence;Better living standards,Separation from family,Talking to family and friends,I’m not sure,Other;All country Embassy is not in Bangladesh;Educational qualification,No,Positive impact,No,Yes,2
31-40,Female,Employed,No,No,Less than 1 year,No,A moderate role,Career mentors or teachers;Family pressure or support;Friends or peer influence,USA,Never,Desire for independence;Better job opportunities;Other,Job uncertainty;Other,Professional counseling,Yes,Other;Financial issues;Visa or immigration process,No,No impact,Yes,Yes,1
40 or above,Male,Employed,No,No,Less than 1 year,No,A minor role,Family pressure or support;Friends or peer influence;Social media and online success stories,UK,Never,Political stability;Desire for independence;Economic opportunities,Social acceptance,Talking to family and friends,No,Other;Financial issues;Family pressure or support,No,Negative impact,Yes,Yes,1
40 or above,Female,Self-employed,No,No,Less than 1 year,No,A moderate role,Other;Personal research and aspirations;Family pressure or support,"Middle East (e.g., UAE, Saudi Arabia)",Rarely,Higher education;Better job opportunities;Political stability,Nothing,Joining online forums,Yes,Educational qualification;Financial issues;All country Embassy is not in Bangladesh,Not sure,Positive impact,Yes,Yes,1
40 or above,Female,Self-employed,No,No,Less than 1 year,No,A minor role,Family pressure or support;Other;Personal research and aspirations,Canada,Rarely,Economic opportunities;Higher education;Political stability,Nothing,Joining online forums,Yes,Visa or immigration process;All country Embassy is not in Bangladesh;Job information or experience,No,Positive impact,Yes,Yes,2
40 or above,Female,Self-employed,No,No,Less than 1 year,No,No role at all,Personal research and aspirations;Family pressure or support;Social media and online success stories,USA,Never,Healthcare;Better living standards;Political stability,Nothing,Joining online forums,Yes,Educational qualification;Job information or experience;Visa or immigration process,Yes,Positive impact,No,Yes,1
31-40,Male,Employed,No,No,Less than 1 year,No,A moderate role,Family pressure or support;Social media and online success stories;Career mentors or teachers,"Europe (e.g., Germany, Sweden)",Rarely,Political stability;Desire for independence;Healthcare,Job uncertainty,Talking to family and friends,I’m not sure,Visa or immigration process;Other;All country Embassy is not in Bangladesh,No,Negative impact,Yes,Yes,1
40 or above,Male,Self-employed,No,No,Less than 1 year,No,No role at all,Other;Friends or peer influence;Career mentors or teachers,USA,Never,Better living standards;Healthcare;Political stability,Other,Talking to family and friends,I’m not sure,Family pressure or support;Financial issues;Job information or experience,Yes,Positive impact,No,Yes,1
40 or above,Male,Employed,No,No,Less than 1 year,No,No role at all,Family pressure or support;Other;Social media and online success stories,Australia,Rarely,Healthcare;Economic opportunities;Higher education,Nothing,Joining online forums,I’m not sure,Visa or immigration process;All country Embassy is not in Bangladesh;Job information or experience,No,Negative impact,Yes,Yes,2
40 or above,Female,Employed,No,No,Less than 1 year,No,A minor role,Personal research and aspirations;Career mentors or teachers;Family pressure or support,USA,Never,Healthcare;Political stability;Economic opportunities,Visa or immigration concerns;Other,Talking to family and friends,No change,Financial issues;All country Embassy is not in Bangladesh;Family pressure or support,Not sure,Negative impact,Not Sure,Yes,1
31-40,Female,Employed,No,No,Less than 1 year,No,A minor role,Career mentors or teachers;Social media and online success stories;Family pressure or support,USA,Never,Better job opportunities;Better living standards;Political stability,Visa or immigration concerns;Language barriers;Job uncertainty,Joining online forums,I’m not sure,Financial issues;Educational qualification;Job information or experience,No,Not sure,Not Sure,Yes,2
40 or above,Male,Self-employed,No,No,Less than 1 year,No,A moderate role,Career mentors or teachers;Family pressure or support;Personal research and aspirations,"Europe (e.g., Germany, Sweden)",Never,Political stability;Desire for independence;Economic opportunities,Nothing,Talking to family and friends,No,Family pressure or support;Job information or experience;Educational qualification,No,Not sure,No,Yes,2
31-40,Female,Employed,No,No,Less than 1 year,No,A significant role,Friends or peer influence;Family pressure or support;Personal research and aspirations,Australia,Never,Better living standards;Political stability;Desire for independence,Nothing,Hobbies or physical exercise,Yes,Other;Family pressure or support;All country Embassy is not in Bangladesh,Not sure,Negative impact,Not Sure,Yes,2
31-40,Male,Self-employed,No,No,Less than 1 year,No,A minor role,Career mentors or teachers;Social media and online success stories;Friends or peer influence,Canada,Rarely,Better job opportunities;Economic opportunities;Healthcare,Cultural shock;Separation from family;Other,Joining online forums,I’m not sure,Job information or experience;Visa or immigration process;Other,Yes,Positive impact,Yes,Yes,2
31-40,Female,Self-employed,No,No,Less than 1 year,No,A minor role,Personal research and aspirations;Career mentors or teachers;Friends or peer influence,UK,Rarely,Desire for independence;Political stability;Economic opportunities,Separation from family,Talking to family and friends,I’m not sure,Financial issues;Job information or experience;Other,Yes,No impact,Not Sure,Yes,2
40 or above,Male,Self-employed,No,No,Less than 1 year,No,No role at all,Career mentors or teachers;Friends or peer influence;Personal research and aspirations,USA,Rarely,Better living standards;Better job opportunities;Desire for independence,Other;Separation from family;Language barriers,Other,No change,Family pressure or support;Other;Job information or experience,Not sure,No impact,No,Yes,1
40 or above,Female,Employed,No,No,Less than 1 year,No,A significant role,Friends or peer influence;Personal research and aspirations;Career mentors or teachers,Australia,Rarely,Higher education;Better job opportunities;Economic opportunities,Separation from family;Job uncertainty,Hobbies or physical exercise,No,All country Embassy is not in Bangladesh;Educational qualification;Family pressure or support,No,Not sure,Not Sure,Yes,1
40 or above,Male,Self-employed,No,No,Less than 1 year,No,No role at all,Family pressure or support;Friends or peer influence;Personal research and aspirations,UK,Rarely,Better living standards;Political stability;Healthcare,Nothing,Joining online forums,Yes,Financial issues;Visa or immigration process;All country Embassy is not in Bangladesh,Yes,Positive impact,Not Sure,Yes,1
40 or above,Female,Employed,No,No,Less than 1 year,No,A significant role,Social media and online success stories;Personal research and aspirations;Family pressure or support,"Europe (e.g., Germany, Sweden)",Rarely,Desire for independence;Better job opportunities;Economic opportunities,Language barriers;Visa or immigration concerns,Joining online forums,No change,Visa or immigration process;Educational qualification;All country Embassy is not in Bangladesh,Not sure,No impact,No,Yes,1
40 or above,Male,Employed,No,No,Less than 1 year,No,A significant role,Social media and online success stories;Other;Family pressure or support,UK,Never,Better job opportunities;Other;Desire for independence,Nothing,Joining online forums,No,Family pressure or support;Financial issues;Other,Not sure,No impact,Not Sure,Yes,1
40 or above,Female,Employed,No,No,Less than 1 year,No,No role at all,Career mentors or teachers;Friends or peer influence;Personal research and aspirations,UK,Never,Higher education;Desire for independence;Economic opportunities,Visa or immigration concerns,Talking to family and friends,No,Family pressure or support;All country Embassy is not in Bangladesh;Financial issues,Yes,Positive impact,Yes,Yes,1
